# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1501000 -226.414 -263.25 -83.3092 -50.9053 51.0447 79.2166
1502000 -206.887 -147.941 -163.661 -38.5431 -83.8513 -9.16675
1503000 -191.406 -180.583 -222.201 -14.7364 96.2906 76.8911
1504000 -95.4086 -204.332 -235.597 44.5573 0.904694 -11.4015
1505000 -251.151 -287.863 -171.499 -34.1917 78.243 8.92035
1506000 -125.045 -103.193 -30.0898 49.7901 52.2541 -101.987
1507000 -76.8806 -164.136 99.3637 10.5791 -17.262 -64.9077
1508000 -103.417 -114.51 27.1632 28.8288 29.1204 -43.5233
1509000 -22.7044 -66.3162 87.2956 -4.70724 -9.60384 48.3596
1510000 2.35023 -218.784 -57.9934 -11.4282 39.9723 52.0695
1511000 106.188 -139.023 -21.8821 -4.54988 55.659 75.1831
1512000 -120.988 -23.1957 -57.4766 3.69219 40.9582 91.3846
1513000 -132.473 -160.943 -101.524 -23.5579 5.98363 55.2
1514000 -145.589 -167.224 -2.10117 -22.8967 32.2537 -31.968
1515000 -288.548 -82.7723 -30.489 -48.1167 12.5446 -55.6327
1516000 -295.15 -165.359 -126.739 -65.7639 32.997 -58.5807
1517000 -117.632 -172.255 -45.7658 -24.7765 57.0942 -34.0423
1518000 -11.7739 -160.357 49.5509 -107.121 14.9226 -38.825
1519000 -48.8907 -245.451 -40.003 -35.7723 64.0332 48.244
1520000 -97.9638 -202.966 4.13811 -14.5658 43.5984 -61.77
1521000 -26.8739 -183.822 -32.2112 39.0259 -45.7083 -18.4567
1522000 -261.099 -202.42 -137.474 -53.0811 -24.1803 19.3602
1523000 -164.468 -18.3218 -154.038 -33.2973 30.2008 30.6821
1524000 -150.684 -184.733 -208.927 -6.46309 30.1576 56.3935
1525000 -115.313 -78.4973 -93.3322 31.8565 -20.355 1.72568
1526000 -27.7626 1.72933 -80.5687 74.6836 -11.1542 92.8484
1527000 -65.0195 8.81729 -101.943 -37.5489 63.1085 60.9451
1528000 25.8582 -40.0355 -91.1604 -16.9817 -5.47495 -42.972
1529000 4.20075 -115.353 -151.31 63.8888 -30.385 74.9081
1530000 -78.2028 -111.907 -77.4784 30.7425 -61.7248 -14.855
1531000 80.2668 -17.3995 -87.6171 93.8553 31.1608 -17.4601
1532000 -147.545 -299.529 -133.747 -72.7663 -55.4426 -25.556
1533000 -84.3924 -101.128 -54.2652 -46.8469 -62.7443 64.0147
1534000 -101.521 -244.206 -119.508 9.03725 12.3921 60.691
1535000 -21.6154 -16.2629 -182.074 -12.0251 -24.0949 9.138
1536000 -189.699 -211.083 -194.08 -23.6518 22.6932 22.8342
1537000 -175.562 -225.724 -123.737 97.2025 -1.43505 68.1888
1538000 -187.825 -125.269 -169.235 10.4705 65.3781 25.7767
1539000 -174.97 -280.807 -216.958 -18.327 2.00076 62.1877
1540000 -249.352 -210.639 -153.214 -59.8263 51.4428 -88.2175
1541000 -134.015 -135.587 -46.6744 -15.0441 61.3611 -67.7882
1542000 -156.909 -147.934 -133.469 -18.2543 -50.4084 -8.28203
1543000 -115.015 -55.0955 -11.0128 -57.7902 58.0149 -82.5165
1544000 -72.2631 -84.1419 -139.589 19.5056 -63.0386 -35.6803
1545000 -190.272 58.4583 -98.5961 76.0834 -21.166 12.485
1546000 60.9881 138.051 41.9315 -69.0489 -10.442 -112.53
1547000 -90.8372 40.9266 0.927239 -82.8782 -49.2659 -12.9103
1548000 62.4365 2.70663 101.12 39.6278 -97.4523 37.7708
1549000 59.8552 -52.2218 186.746 21.7326 44.152 0.535762
1550000 -39.5685 -0.142985 -58.9411 50.2171 -92.9729 -11.473
1551000 -145.199 -111.964 -153.154 63.8999 26.731 4.58516
1552000 -130.413 -134.968 -113.164 -56.3645 15.8467 40.7309
1553000 41.8239 -84.306 22.0115 -22.8902 -32.3009 -37.5526
1554000 -101.151 -92.2887 -101.124 -24.7566 -26.8353 20.2277
1555000 -5.77877 -87.5325 -122.728 -91.9616 10.1521 -12.0126
1556000 -129.613 -191.046 -340.342 -16.0153 26.2442 -29.8995
1557000 -49.1292 -131.312 -198.162 -68.9114 87.5636 19.7067
1558000 -166.58 -83.6967 -175.647 -16.9803 58.1218 -56.5417
1559000 -106.572 -218.926 -175.296 33.2089 15.7414 1.16582
1560000 -9.80127 -35.5416 -120.052 -125.958 15.639 52.3979
1561000 48.7149 -72.2409 -153.789 -70.6576 10.5663 -23.7668
1562000 -98.6266 -95.7534 -94.0752 -27.1882 8.98477 74.3345
1563000 -234.159 -187.921 -232.13 -54.078 21.0237 -28.8294
1564000 -155.067 -122.3 -254.452 -8.35688 10.4115 3.09201
1565000 -159.304 -155.2 -178.744 -44.8181 17.5579 35.5558
1566000 2.88228 -109.085 -60.1875 -46.9842 -19.6193 67.0131
1567000 -76.3704 -37.3832 45.8317 -7.36591 -20.3895 47.3819
1568000 25.2556 -46.4971 -74.5457 -24.0237 -29.9726 4.53875
1569000 -73.5401 -111.183 -48.958 -7.31521 -106.401 61.7122
1570000 4.15879 -157.509 22.2161 35.5095 -56.2091 -47.1015
1571000 34.7388 -132.683 76.7145 35.9339 -35.3645 27.2797
1572000 26.1933 -117.709 20.0269 -29.9872 0.993202 -31.3659
1573000 46.5491 -91.2387 42.7697 -46.8582 64.0713 18.9072
1574000 -8.47866 -256.462 -89.6256 -6.45344 119.778 -94.54
1575000 22.6436 -155.611 -18.471 9.29191 19.6235 -29.3644
1576000 -10.6415 -161.423 16.6716 77.3895 46.7711 23.1456
1577000 -82.1536 -96.6673 -29.5299 66.3526 5.30171 -37.109
1578000 -93.6839 -79.2866 77.3039 -8.75187 23.493 -3.06873
1579000 63.3642 168.395 82.1258 46.6345 85.0204 -74.5783
1580000 50.4584 74.0078 -28.8787 50.5431 73.4265 -98.3899
1581000 114.117 -78.8475 -120.398 112.5 -65.7545 -64.0781
1582000 -23.8142 -149.563 49.6414 43.3228 58.2766 44.1639
1583000 -77.5832 -71.0082 -64.5252 62.2213 71.6991 -28.528
1584000 -118.678 -166.455 35.9703 -50.3685 -3.6026 28.2892
1585000 -205.049 -178.253 -33.0383 39.8708 16.3355 42.4358
1586000 32.1259 -237.709 14.5599 0.0882211 -28.7651 60.266
1587000 -87.0605 -86.4501 94.9155 9.99838 116.339 75.2093
1588000 -107.988 -128.611 -74.6275 113.405 15.4645 22.8686
1589000 -144.151 -11.3946 -59.4085 70.6956 47.5725 -0.034888
1590000 -174.005 -11.3563 71.7773 106.706 43.0681 -25.9867
1591000 -138.223 -106.847 114.288 29.6213 10.0579 -60.5278
1592000 -134.568 -192.821 -162.552 31.1287 -10.2849 -11.8603
1593000 -210.582 -253.188 -147.422 -19.601 -45.4196 19.2406
1594000 15.9286 -210.89 -88.5975 75.9744 -7.38231 0.710746
1595000 1.38015 -152.604 -3.423 70.4238 41.8334 -52.9601
1596000 -157.454 -129.892 -199.45 -22.3516 68.1767 -9.65771
1597000 -130.838 -167.297 -135.911 -0.63278 72.7913 -63.2847
1598000 -196.38 -210.343 -80.2054 63.4133 10.9922 -20.2219
1599000 -126.167 -245.941 -128.888 -17.4763 -13.3024 -9.57435
1600000 -270.994 -204.223 -95.537 -5.53643 -88.0885 -139.405
1601000 -154.861 -120.705 -74.677 -12.9795 -18.4328 -43.2475
1602000 -206.697 -321.275 -209.343 50.7078 70.166 -65.6786
1603000 -386.211 -266.251 -213.405 80.3112 -81.4191 27.609
1604000 -84.3725 -307.616 -139.183 39.9582 23.9734 91.1403
1605000 -235.643 -132.665 -90.7398 20.5739 -26.3233 62.8406
1606000 -117.042 -66.3738 -141.909 9.54392 -66.5677 26.3442
1607000 20.1011 8.05841 27.5564 -15.9123 -85.5461 -67.5691
1608000 12.5202 -8.25822 -14.4096 3.59978 -60.383 1.15248
1609000 -95.9056 29.5966 -21.3243 -20.454 -80.4364 -7.70609
1610000 -92.7956 -243.528 -121.677 30.6273 -98.9504 -32.2311
1611000 -245.071 -232.923 -153.803 17.1173 -41.3024 -58.68
1612000 -213.118 -96.7574 -197.815 2.81204 -24.9667 15.857
1613000 -175.7 -78.2746 -187.265 -64.9263 34.4925 73.8193
1614000 -199.971 -91.8279 -122.039 -17.7227 -66.1259 15.6801
1615000 -40.5027 -168.749 -31.9674 2.82749 -25.928 -26.0389
1616000 -21.9159 -42.1355 -14.3055 53.1739 -77.3193 -88.9025
1617000 -131.928 -149.515 -95.8401 4.85997 -4.00144 -56.1287
1618000 -93.1786 -181.851 -115.29 3.91947 -104.546 -63.605
1619000 -212.291 -270.869 -143.511 -34.6831 -66.8893 -64.8513
1620000 -128.459 -67.5714 -100.438 68.8277 -53.424 -81.9253
1621000 -20.7134 -132.489 -12.1524 -53.5497 -40.9768 -40.8193
1622000 -10.6247 -155.101 47.0813 -46.1551 4.47586 -77.5106
1623000 -32.4131 -111.214 -187.834 -83.0704 -31.9827 -21.0791
1624000 -29.6366 -12.1954 -137.844 -113.714 20.6379 -10.3905
1625000 -65.5498 -96.1431 -77.09 -34.9418 -37.1175 -25.6773
1626000 -99.4235 -101.448 -140.447 -34.121 -15.8846 20.4359
1627000 -170.351 11.3534 -75.5022 -117.569 -17.1051 -6.24382
1628000 -245.655 -89.3446 -36.2441 -0.688954 0.216346 11.1351
1629000 -97.0532 -0.456702 -42.162 -83.473 15.7929 3.01811
1630000 -102.74 5.86861 12.1155 25.5643 48.4991 37.5331
1631000 -181.387 -143.477 -152.551 -11.9734 23.6396 62.8065
1632000 -178.522 -119.979 -130.801 -36.9278 53.193 27.9552
1633000 -209.482 -157.108 -81.9294 -89.2121 21.5418 -38.5767
1634000 -154.428 -200.403 -137.522 -30.9417 27.6908 15.4343
1635000 -140.745 -97.1866 -27.5539 -44.3481 46.9312 -22.7499
1636000 -305.834 -142.528 -69.1699 22.0549 31.8427 -56.6413
1637000 -213.482 -113.339 -115.192 45.4218 -47.7448 -15.1757
1638000 -128.941 -26.0612 -124.082 31.1673 -13.112 -94.7538
1639000 -77.8083 19.1981 -55.4716 -47.0228 -13.2133 -50.1248
1640000 -133.827 -123.632 -9.69394 8.88321 32.5502 -30.124
1641000 -24.2918 -53.4809 -94.4248 28.3212 -86.6102 -54.0606
1642000 15.6177 -312.12 -114.798 65.0183 1.91813 -40.4397
1643000 -4.08689 31.4039 -142.365 24.5419 39.7147 -102.15
1644000 -135.884 -138.412 -114.099 31.8459 -45.2936 -117.038
1645000 -148.949 -92.6491 90.3658 90.8802 59.2178 -69.741
1646000 -198.288 -149.874 -21.6517 36.8817 -17.0772 -77.775
1647000 -178.716 -249.257 9.16324 81.7424 14.3165 -27.9457
1648000 -179.835 -221.007 4.63445 100.881 -20.0078 -19.18
1649000 -64.0303 -181.436 199.711 19.7878 -61.7247 50.8295
1650000 -144.075 -144.849 35.8197 -90.0492 18.1276 -30.5689
1651000 -46.0947 -150.068 -38.0652 -48.1144 11.9196 -1.33482
1652000 -61.5829 39.3479 99.8097 -39.1434 0.861622 25.0031
1653000 -81.3656 -26.5264 -24.8458 -74.2574 -36.1258 -72.2369
1654000 -109.05 -55.1722 62.8339 -56.141 -64.6656 -70.0377
1655000 -114.606 -187.525 -91.8914 -51.8305 -47.8743 3.07501
1656000 -64.76 -116.996 -72.3264 -33.5776 -79.4075 -83.2547
1657000 -118.525 -115.55 -38.0519 22.027 -45.8094 -18.4123
1658000 -80.9638 -82.6844 40.5146 -41.3411 41.1266 -55.6475
1659000 -168.501 -77.3886 -86.4476 25.2358 -13.527 -15.7865
1660000 -120.251 -133.823 -111.453 63.6717 -57.6924 20.1198
1661000 -23.8551 -113.883 -67.1145 33.9768 -53.0177 15.2396
1662000 -148.299 -27.9199 63.9064 -27.9145 -75.0581 -94.9288
1663000 -30.2035 -104.886 67.1434 69.9468 23.8883 -2.31027
1664000 -143.157 -122.448 -95.7931 -22.3996 -0.703553 -1.39589
1665000 -174.82 -188.41 -33.608 79.5544 41.1646 -1.42094
1666000 -115.502 -146.396 -186.376 24.0615 -30.3538 10.7153
1667000 -88.4897 -101.169 -121.69 45.2597 -10.0907 -44.4681
1668000 -103.653 -196.272 -81.3067 42.5882 28.0659 -19.0945
1669000 -112.506 -109.033 -202.396 -116.379 -60.9068 124.309
1670000 -36.1146 -122.334 -85.1601 -27.6587 -0.118559 51.4916
1671000 -176.915 -6.1655 -94.7845 -7.164 -21.1013 43.3152
1672000 -70.5012 -63.2995 -36.7966 -35.5377 -35.1784 53.512
1673000 -155.602 -172.43 -142.157 1.32306 -7.24044 -9.27912
1674000 -150.828 31.7413 12.8124 25.0208 -95.0522 -9.08861
1675000 -145.749 -18.7802 -78.344 3.07691 -81.3676 -60.439
1676000 -151.527 -29.656 -154.763 45.4648 -77.4742 11.7321
1677000 -205.731 -106.861 -154.47 98.6685 1.36282 31.817
1678000 -58.8908 2.99161 -152.162 -13.4811 -68.3683 -3.52384
1679000 -120.633 30.8951 14.4265 69.0749 -127.023 40.7211
1680000 -220.122 26.595 81.0663 57.3376 -22.0959 15.7602
1681000 -125.147 -56.2164 50.9359 82.6818 -46.4105 -8.23562
1682000 -201.609 83.4238 -83.7008 -14.4683 -33.8474 60.0511
1683000 -191.172 -70.6097 -163.258 12.4754 -21.9719 20.3856
1684000 -105.443 -15.8144 49.5306 86.9483 -7.96796 25.389
1685000 -46.9907 -38.1896 -24.4435 40.9022 -7.82518 -21.3668
1686000 -194.156 -84.5711 -123.985 0.24324 48.5572 8.70768
1687000 -9.95557 50.1177 32.0798 26.4079 69.4492 -45.0935
1688000 44.3065 3.29079 123.735 -14.4834 31.146 -0.280274
1689000 -27.977 34.1267 4.63181 -51.9496 -12.908 55.7592
1690000 -74.4405 -43.9085 -70.0669 61.8399 -46.642 7.20011
1691000 -146.48 188.196 -32.771 33.0554 59.3416 56.1405
1692000 -198.403 115.561 -109.774 2.89434 -55.8869 94.2866
1693000 -14.0563 78.3986 -141.233 41.6349 -102.365 79.1986
1694000 -204.631 19.3164 -29.0526 12.287 -27.9661 10.2372
1695000 -123.699 -8.58355 -13.4837 -4.49224 -73.5174 1.2408
1696000 -234.4 4.49343 -143.528 0.217523 -32.1467 -22.3725
1697000 -206.155 58.5075 139.942 -83.6985 40.3791 34.7212
1698000 -275.713 -105.871 -66.7888 -82.0037 9.2857 36.7752
1699000 -376.51 -105.686 -115.029 -14.2603 10.2833 -27.5384
1700000 -364.026 -83.8981 -227.198 36.1398 -33.0125 55.1583
1701000 -309.704 -197.239 -157.426 -33.723 -3.26251 28.0177
1702000 -217.67 -157.215 -277.462 0.130774 -26.8448 24.0791
1703000 -168.339 -73.4221 -302.807 -93.0586 -60.2974 79.4434
1704000 -330.344 -51.8652 -121.711 -57.9666 50.6271 4.08604
1705000 -313.813 -10.5947 -221.762 -78.672 -35.29 63.6357
1706000 -214.36 -76.0077 -148.892 -84.1281 -1.90892 -42.209
1707000 -235.827 -76.9707 -236.124 -94.6129 0.218099 -65.1408
1708000 -126.962 -111.961 -237.951 -64.0513 42.2604 33.9381
1709000 -238.703 -8.67799 -252.601 32.3809 35.9733 34.9158
1710000 -246.298 -132.731 -224.725 25.2796 59.5259 79.2042
1711000 -300.867 -6.57519 -116.896 -71.205 20.1029 52.0885
1712000 -70.3483 31.4234 17.75 -12.426 54.2252 -39.5601
1713000 -109.489 -119.667 -125.043 66.1159 51.6158 44.5324
1714000 21.7401 32.1643 -164.999 68.8113 12.8633 14.7876
1715000 -156.791 -27.3276 -130.586 7.25024 72.2485 8.86791
1716000 28.7016 -12.4273 -129.532 19.3895 90.9769 10.328
1717000 46.5959 30.3999 -17.9419 -26.3065 -3.938 13.6112
1718000 -162.747 57.0273 -51.2911 -41.2381 50.2871 60.4369
1719000 -17.3195 76.8008 -184.965 -26.942 72.8837 -153.548
1720000 -52.2349 15.9664 62.845 30.1207 6.57926 -19.5572
1721000 -46.9723 42.1964 -45.2871 -52.0723 -17.9525 -47.3356
1722000 41.5169 -18.6696 -37.2789 -54.1711 57.8688 -32.2329
1723000 -112.93 -75.53 -174.192 50.5723 15.9659 -49.063
1724000 -179.872 -110.332 -187.475 -16.3992 13.1797 -56.1648
1725000 -130.769 -110.92 -219.74 -14.7638 -13.3517 39.6416
1726000 -109.001 -143.671 -193.883 -61.9636 176.564 -44.1381
1727000 -103.537 0.620467 -275.886 -30.4528 106.184 83.9574
1728000 -55.5614 -34.125 -277.677 31.2332 8.90085 -18.1972
1729000 -150.193 -124.891 -145.342 -36.6735 -19.2469 57.1709
1730000 -12.4531 -103.011 -86.8528 -10.9234 -47.031 -24.906
1731000 -291.539 -293.129 -256.616 -43.4599 -1.49831 -17.237
1732000 -163.264 -195.71 -118.319 23.5551 -22.0907 40.4652
1733000 -134.671 -246.268 -178.646 -105.963 -24.0763 108.695
1734000 -134.098 -180.477 -88.9898 4.80088 20.3349 43.3224
1735000 47.784 114.921 -23.7461 -25.9385 20.7381 79.55
1736000 -216.175 -123.556 -87.2224 -41.4894 -46.8634 -3.81068
1737000 7.32101 -6.18208 -54.2552 -25.9139 -56.0126 -50.6231
1738000 -26.2456 78.4694 -53.4406 -45.1853 -7.95062 52.0637
1739000 -12.6521 -86.1616 34.8794 -6.43021 -30.9674 96.4071
1740000 62.0629 128.198 179.164 -11.4019 8.58768 88.6902
1741000 -34.0996 25.2418 118.092 -4.05089 59.2707 102.165
1742000 -5.99063 142.154 131.551 13.551 -50.559 2.76393
1743000 22.0109 15.639 71.2307 4.3651 -35.6898 45.1821
1744000 75.0378 20.0676 150.946 1.72522 -26.301 -91.2378
1745000 -46.4746 35.151 -11.6562 -26.6078 36.8239 -32.6621
1746000 25.4959 29.3748 55.7726 47.9518 -74.8692 76.7974
1747000 69.8165 49.756 184.713 -12.2209 -44 26.5517
1748000 13.4067 68.4056 -25.9759 39.0421 -50.8998 87.3041
1749000 -13.3616 21.2755 -2.93574 -32.6324 -2.78118 17.8477
1750000 -143.366 -38.7867 -89.7873 97.464 -50.2597 2.89144
1751000 -53.8634 -94.142 -134.228 23.4268 -7.05084 -95.8013
1752000 -17.5401 -38.0731 -152.795 26.9717 90.3161 -12.3205
1753000 -32.6528 -37.1614 -89.4059 20.5754 34.8641 -16.6185
1754000 17.0939 -76.7314 -196.872 14.072 138.017 -8.6808
1755000 -128.057 -263.743 -157.117 6.52702 7.35131 -92.3683
1756000 -177.154 -151.957 -258.454 6.78796 23.9698 -45.024
1757000 -44.8996 -99.833 -55.296 6.19381 -69.6847 -80.603
1758000 0.734762 -23.2374 -208.469 -47.591 -44.9722 -13.7883
1759000 -155.183 -140.145 -256.139 -101.063 -24.9443 -23.6326
1760000 -79.7814 -173.114 -173.833 -36.8947 -31.5204 34.847
1761000 -117.272 -139.893 -96.6551 -62.7573 -32.9344 -68.8084
1762000 -127.079 -154.057 -243.712 -14.8009 16.8481 -61.421
1763000 -133.062 -229.255 -268.064 31.7185 -29.8748 13.0823
1764000 -80.4675 -64.5562 -102.511 -89.0197 -2.74888 -6.13846
1765000 -27.2116 -40.111 -88.6383 78.0036 0.7891 -26.5977
1766000 -6.5373 -78.0127 -154.866 49.3831 27.2491 104.351
1767000 28.9752 -50.2658 -102.615 -34.1455 4.35393 -33.9141
1768000 -152.046 -48.436 76.8749 7.57963 -33.5299 -33.0701
1769000 14.6344 -70.5733 -203.915 -44.3225 70.8571 34.8539
1770000 -9.78123 -123.201 -52.2147 24.9932 0.077536 -80.9193
1771000 -75.7902 -128.178 -18.4413 -38.5876 54.9361 103.208
1772000 -147.376 -159.485 -183.575 36.6708 126.971 54.0581
1773000 -225.056 -175.692 -110.621 -9.81565 -24.3391 -21.9539
1774000 -183.065 -107.221 -154.884 -56.9821 -10.5411 73.4109
1775000 -172.644 -167.656 -79.543 -7.91801 58.5775 54.2605
1776000 -276.966 -91.0581 -177.189 -25.1538 8.2463 -11.9897
1777000 -122.057 -167.964 -181.653 5.38835 -25.7718 99.714
1778000 -117.007 -83.8209 -184.173 -8.02221 -10.3377 -13.5757
1779000 -45.8348 -42.381 -165.855 -6.60972 -52.9224 108.884
1780000 -126.63 -37.278 -140.965 -32.7563 25.3148 -13.3817
1781000 -212.543 9.40929 -100.713 -15.7846 27.3072 -27.0275
1782000 -114.186 3.66986 -152.588 -69.8379 -92.2003 -53.8419
1783000 -179.36 -52.5256 -158.25 -65.6999 -22.5941 -17.3499
1784000 -142.731 -4.19394 -240.354 -109.132 34.7941 -83.7869
1785000 -166.207 -119.428 -155.695 -69.7884 15.4224 -3.97195
1786000 -29.0151 -110.202 -81.8044 22.5213 -74.9167 -32.5828
