TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1501000 -225.323 -264.9 -258.981 5.9929 -1.92041 -22.206
1502000 -158.111 -448.31 -197.299 -8.57101 -5.49203 9.93597
1503000 -214.713 -342.817 -349.911 22.4736 -56.014 -25.6958
1504000 -263.6 -333.027 -257.043 29.5153 -109.76 -36.9906
1505000 -228.414 -393.016 -344.703 47.1496 -112.545 -108.169
1506000 -193.671 -384.007 -308.499 -112.245 -69.8736 -145.505
1507000 -205.217 -267.141 -54.0807 -55.3166 -60.3702 -130.487
1508000 -111.467 -232.848 -109.953 -20.0671 -132.864 13.2906
1509000 -169.744 -257.673 -95.4401 -36.945 -124.113 1.14588
1510000 -129.402 -185.183 -135.312 -21.0017 -41.9284 -51.858
1511000 -120.884 -286.638 -305.565 -25.854 -127.671 -103.711
1512000 -180.357 -205.884 -189.266 -81.571 -119.453 -61.2531
1513000 -35.2241 -94.3718 -101.447 17.1306 -122.486 -23.3772
1514000 -7.76454 -113.371 -92.4926 -71.0723 -70.749 -132.052
1515000 -182.34 -108.042 -29.4698 -46.4876 56.8181 -44.13
1516000 -14.2284 -127.26 -166.788 -86.0975 -48.3571 -17.7679
1517000 -157.019 -188.149 -320.219 -27.1688 -64.2548 -71.8358
1518000 -121.312 -202.021 -219.103 -106.793 -30.516 -8.01168
1519000 -106.589 -192.552 -351.361 -56.4904 -26.9323 6.49241
1520000 -250.884 -175.11 -348.229 -18.7295 -76.7473 -16.8233
1521000 -214.067 -172.948 -250.466 -71.5775 -0.0684153 -56.5168
1522000 -193.827 -188.683 -124.954 17.7125 15.4612 -31.7202
1523000 -61.0671 -73.3579 -51.1015 -76.7024 -57.1902 27.1792
1524000 -199.494 -167.937 -123.197 -68.7419 -34.6518 -110.209
1525000 -146.451 -76.6667 -118.187 -50.3052 -59.825 -83.4207
1526000 -151.133 -167.673 -146.612 -20.934 -108.727 -123.221
1527000 -151.511 -213.328 -226.088 -83.8316 -73.8204 -58.1604
1528000 -226.165 -205.388 -304.448 -33.0259 -54.6139 -60.5652
1529000 -179.083 -231.837 -282.195 -5.7225 -55.9782 -56.1739
1530000 -201.802 -230.854 -166.735 40.6598 -85.6458 -5.24379
1531000 -194.885 -126.367 -176.048 -26.4812 -16.7779 -8.59543
1532000 -109.504 -218.258 3.34609 -39.4414 27.6752 -35.514
1533000 -163.738 -95.9329 64.2071 34.3519 -3.79168 42.4465
1534000 -168.207 -129.7 -74.8604 -20.9827 -108.585 68.5027
1535000 -200.073 -100.726 -39.0664 -27.558 31.9932 -43.7998
1536000 -83.0514 -193.456 48.6703 -21.1623 -81.3842 52.2823
1537000 39.7787 -180.755 31.3631 -55.7283 -4.2517 1.07224
1538000 -126.179 -176.08 -90.2188 -5.77588 -81.4795 21.5121
1539000 -93.8706 -61.2051 -27.9499 -26.3805 -112.43 -87.311
1540000 -181.071 -206.276 -205.531 -0.137751 -69.0428 10.001
1541000 -161.837 -78.6803 17.3534 74.0374 -1.11329 -37.4862
1542000 -95.9109 -215.836 -2.70473 -55.8268 -107.401 4.59314
1543000 -13.847 -139.718 -6.30869 47.9083 -128.398 -73.5246
1544000 -105.016 -87.4806 -215.009 57.3275 -58.3405 -7.90605
1545000 -191.13 -148.014 -185.329 31.9264 -26.0699 -102.733
1546000 -186.134 -217.549 -153.106 -50.8214 25.9744 -59.7791
1547000 -111.232 -217.415 -95.7072 41.9644 -49.1867 -42.4234
1548000 -51.1341 -128.442 -194.796 38.3946 10.8875 62.1164
1549000 -86.9422 -140.957 -87.367 -9.13254 -73.577 -30.1571
1550000 66.9194 -137.743 54.2048 -22.6532 -59.0973 -118.266
1551000 38.8439 -200.796 -34.4132 96.259 -29.5198 -58.0618
1552000 -131.743 -122.384 -96.8525 4.19309 -29.1073 -76.4583
1553000 -265.145 -256.954 -204.231 -50.3295 -107.836 -35.6755
1554000 -294.415 -274.553 -166.344 -35.8793 -43.4364 -133.15
1555000 -75.1089 -286.649 -215.704 43.8599 -56.5831 -84.9408
1556000 24.8635 -77.7683 26.2701 -3.46696 -75.5732 -88.8072
1557000 -85.2176 -180.091 -128.287 -63.3148 -88.3476 -134.113
1558000 -210.157 -284.011 -235.681 20.3706 -67.3579 -76.2343
1559000 -133.355 -300.267 -287.235 5.54778 -40.8377 -89.3881
1560000 -219.253 -269.546 -266.409 79.2473 16.9278 -53.5328
1561000 -155.328 -276.004 -305.787 18.4492 -116.045 -62.0889
1562000 -89.0467 -217.098 -141.924 82.7306 -40.2831 -0.59704
1563000 -197.735 -167.948 -174.483 64.9954 2.9128 2.64047
1564000 -121.715 -273.103 -233.73 -6.71189 -61.615 -10.6553
1565000 -199.802 -201.823 -28.813 -3.99298 -56.0664 -57.5336
1566000 -216.729 -95.797 -156.333 -26.6508 -33.0909 -102.305
1567000 -174.196 -139.813 -269.829 -16.4162 -45.8763 -55.8892
1568000 -74.2145 -247.532 -200.191 -43.2421 -52.2164 -58.7896
1569000 -129.898 -284.777 -279.267 -26.4893 -87.7256 -10.0941
1570000 -183.193 -158.765 -172.504 -33.2001 -110.438 -35.6956
1571000 -141.87 -157.368 -98.0584 -33.101 -76.4983 -72.1588
1572000 -189.248 -112.49 -177.99 -2.76047 -86.5949 -79.3731
1573000 -90.6382 -141.55 -152.618 -13.6938 -23.3695 -2.73016
1574000 -159.823 -230.79 -38.3429 19.1908 23.1814 -62.4105
1575000 -177.562 -91.737 -127.781 -51.2005 -30.3506 -134.891
1576000 -83.5943 -188.004 -75.4202 -38.6742 -104.014 -57.1788
1577000 -125.333 -191.577 -238.713 -14.6948 -156.069 -72.9779
1578000 -78.9542 -173.15 -229.937 -7.4076 -118.153 -131.007
1579000 -204.122 -336.703 -314.885 -11.2263 -71.6865 -124.121
1580000 -277.403 -301.294 -303.3 -5.78662 -34.9981 -52.8243
1581000 -89.4339 -342.528 -215.144 5.97524 -136.406 -89.1905
1582000 -250.134 -197.899 -187.597 -34.1986 -54.1447 -73.2585
1583000 -239.369 -265.665 -220.769 -15.7158 -15.2637 -74.1157
1584000 -195.679 -361.59 -268.188 -45.6936 -29.2844 -48.6931
1585000 -7.80429 -188.974 -263.03 -35.6168 70.1389 49.0288
1586000 -97.5239 -155.478 -146.374 -109.57 -140.661 -22.6431
1587000 -184.071 -125.74 -144.179 -85.5599 -105.463 -2.15298
1588000 -263.522 -256.127 -271.259 -25.571 -51.6686 -25.5616
1589000 -266.727 -276.572 -303.993 -90.1898 2.63814 -52.6589
1590000 -227.167 -213.557 -163.578 -129.291 -53.0877 -33.1158
1591000 -232.477 -284.961 -225.771 15.4711 -72.1892 -41.431
1592000 -109.186 -385.382 -249.808 -40.5675 -84.575 -1.89915
1593000 -239.126 -304.477 -281.022 17.224 53.8746 5.20786
1594000 -117.799 -274.897 -247.849 -78.561 -61.3017 -12.1782
1595000 -42.9082 -328.966 -226.947 -59.2124 -42.2047 21.535
1596000 -161.157 -270.861 -291.953 20.3927 41.2088 -47.3243
1597000 -282.014 -205.202 -249.801 -23.7383 73.5067 -45.0662
1598000 -224.612 -295.804 -209.482 -121.238 -85.6833 13.0519
1599000 -310.777 -210.086 -186.972 -20.1595 -68.9224 34.81
1600000 -213.019 -206.291 -102.947 -1.49427 40.6926 5.22067
1601000 -166.46 -171.367 5.42774 -87.8002 -42.6897 67.7028
1602000 -224.718 20.8961 -75.4704 -176.146 -20.2994 -51.0894
1603000 -75.4031 -22.3892 5.37292 -116.671 27.9169 88.022
1604000 -109.808 -78.8038 -161.449 -99.982 62.0608 6.07886
1605000 -165.216 -116.17 -241.639 -24.9863 8.98988 31.2221
1606000 -194.233 -181.045 -188.457 -106.507 -19.3642 61.4182
1607000 -230.723 -254.009 -113.516 -154.425 -131.967 -24.4402
1608000 -102.197 -269.567 -237.905 -87.2615 -73.7289 5.82295
1609000 -197.682 -238.362 -270.028 -142.166 -111.618 -37.365
1610000 -204.134 -203.994 -215.663 -44.9994 -105.686 65.2733
1611000 -174.681 -351.729 -284.011 -165.449 -142.276 31.5398
1612000 -116.144 -175.343 -101.383 -157.771 -129.078 62.3447
1613000 -243.983 -305.298 -280.002 -105.991 -129.643 25.7883
1614000 -96.6528 -233.643 -259.039 -35.4068 -64.4736 62.6542
1615000 -54.6087 -180.095 -264.195 -38.1803 -49.9423 36.7036
1616000 -67.4848 -170.917 -190.266 -27.1764 -113.282 93.6358
1617000 -147.133 -151.237 -131.668 -3.46631 30.7701 -23.323
1618000 -131.146 -255.3 -249.488 -14.1638 -122.508 49.0819
1619000 -154.657 -297.783 -139.866 -37.3794 -86.6106 -2.62282
1620000 -155.407 -197.777 -203.374 -46.7814 -101.862 7.54836
1621000 -256.774 -237.175 -86.7055 -71.3276 25.9233 26.0105
1622000 -201.531 -211.688 -114.687 20.2543 -37.1362 6.13754
1623000 -224.383 -72.6674 -311.163 -23.7224 -65.9733 22.5399
1624000 -190.909 -200.576 -82.3567 -21.559 12.5649 31.924
1625000 -128.639 -189.08 -196.277 -23.6504 -138.413 44.4906
1626000 -116.669 -130.185 -123.313 -24.8438 -24.9285 101.516
1627000 -194.356 -134.437 -81.9748 -96.1461 -10.8715 28.061
1628000 -212.936 -241.697 -203.355 -50.1319 -4.51494 8.48535
1629000 -237.795 -224.022 -217.81 34.5819 -73.8088 -57.6464
1630000 -47.792 -134.285 -77.2621 26.3356 -19.0636 95.2983
1631000 -116.823 -62.1908 -85.9267 -92.8646 -77.9449 -53.8189
1632000 -175.348 -238.908 -113.046 27.8223 45.9076 -21.6757
1633000 -6.18304 -159.533 -55.282 -48.8851 -85.4008 38.0199
1634000 -17.8918 -272.153 -121.493 -31.2691 -6.91921 -47.0096
1635000 -142.369 -282.704 -145.116 -90.5444 -55.31 -39.1256
1636000 -77.4056 -153.677 -131.295 48.8969 -80.642 40.6399
1637000 -159.854 -98.0175 -75.9619 -61.8036 -6.41192 -13.0584
1638000 -31.0734 -138.721 -247.512 -4.89799 85.4999 15.4466
1639000 -10.0146 -140.512 -227.453 61.858 -15.0102 55.7329
1640000 -93.5562 -73.7492 -90.2886 -62.4025 -60.4759 -1.93164
1641000 145.943 26.8436 -88.046 -74.4293 -47.1091 -42.5468
1642000 -80.0849 -128.81 -26.7913 15.1464 -8.52006 48.7823
1643000 -83.4634 -59.4777 -157.705 -30.1978 20.981 19.3046
1644000 -45.0788 -62.0186 -122.806 -26.5464 -89.6118 34.3463
1645000 -140.453 -141.124 -177.648 35.2981 -14.6137 60.102
1646000 -176.872 -173.431 -169.751 5.93347 -40.8263 98.3259
1647000 -63.713 -182.348 -222.631 70.4885 30.818 25.3103
1648000 -69.5386 -127.46 -99.5326 -7.50029 -60.9851 27.5478
1649000 -21.4662 -131.898 -206.14 81.3678 1.72155 123.436
1650000 -58.4272 -106.538 -48.9033 50.8333 28.5776 80.3172
1651000 -78.204 -162.415 -167.449 66.7522 25.0174 63.0993
1652000 -43.0601 -51.4196 -106.824 76.6938 -30.1681 64.0132
1653000 -65.8559 -190.089 -207.061 -20.6987 25.1601 29.0325
1654000 18.0273 -117.753 92.965 21.9398 36.4708 24.0138
1655000 -68.6632 -59.7669 -103.984 3.90562 -83.0448 56.1491
1656000 -99.1648 -227.74 -154.124 -23.1647 2.4017 26.4437
1657000 -126.73 -285.387 -65.5092 -63.7997 -14.3232 29.5793
1658000 -51.4269 -150.313 -101.244 -46.7333 -6.23086 -82.8139
1659000 -88.9907 -153.319 -208.11 15.4771 9.01866 34.5482
1660000 -174.552 -113.995 -137.615 0.336775 -20.9388 73.093
1661000 -208.813 -141.845 -292.128 60.8957 11.5703 -1.77459
1662000 -7.73761 -164.361 -108.205 -43.3442 -65.0607 -15.0501
1663000 -29.1798 5.72008 79.9243 -7.90085 18.0008 58.7338
1664000 -48.9597 -73.7139 -87.6057 -1.16504 -18.5521 65.857
1665000 -109.821 -35.797 -37.8617 5.14365 -117.738 120.773
1666000 44.5215 -117.98 -201.266 -37.8613 -20.5718 115.574
