# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1501000 62.9896 60.3435 -26.2106 -15.5453 9.86724 22.8205
1502000 -30.5611 -31.8692 -89.5619 -36.0975 5.30905 8.74037
1503000 -25.5934 30.0703 -117.424 20.5563 33.1141 3.36759
1504000 -2.50672 88.4482 -40.7433 -52.7376 -10.3858 -43.172
1505000 -132.156 -139.16 -62.7147 -29.4764 46.5077 -10.8641
1506000 -97.3445 -133.416 14.0676 -40.9247 15.3487 -36.3603
1507000 -142.386 -32.7782 -33.2087 -106.045 18.2642 -40.85
1508000 -136.32 -37.0875 -156.031 -9.36097 75.9823 -49.0849
1509000 -28.9459 59.0102 -90.5975 -121.31 51.684 -5.25869
1510000 -192.059 -93.4657 -108.366 -50.5933 73.7548 12.6425
1511000 -138.335 -205.908 -192.022 -41.1222 57.0635 -97.6113
1512000 -57.8432 -38.8668 -70.5395 -41.4892 12.2156 -111.623
1513000 -67.377 -61.1258 48.1668 -84.5828 -51.7986 -100.922
1514000 -168.911 -78.5297 53.4857 -111.716 -80.5086 -176.47
1515000 -139.978 -61.5651 -75.1919 -54.0792 7.6804 -50.7682
1516000 -66.5928 14.584 -37.4885 -30.1888 -13.1485 -15.3516
1517000 -86.1239 -100.043 96.9078 -87.5819 8.48052 -84.4586
1518000 -32.9134 -31.5014 -50.9375 -49.4055 9.97889 -107.384
1519000 -82.8906 -244.827 -99.7673 -94.9466 -43.3007 -162.168
1520000 -128.617 28.9326 -62.9296 -34.0652 94.4683 -17.2083
1521000 -203.185 -154.89 -206.72 -36.6655 -5.53875 -95.0599
1522000 -131.848 -76.7177 -166.442 -5.38842 -68.2572 20.1961
1523000 -51.711 20.6573 -86.1299 -1.86792 -3.55725 -79.0222
1524000 30.9123 11.1908 -112.759 -14.0806 -68.7724 -4.54691
1525000 -138.463 108.211 -40.3284 22.4093 5.96308 -43.2381
1526000 -209.299 -100.764 -33.2188 65.0142 40.2798 -54.8953
1527000 -128.41 -106.34 -183.221 29.3521 54.659 -5.25098
1528000 -63.7729 -202.269 -149.169 -53.0306 10.4193 -46.6256
1529000 16.5112 -52.7437 -138.53 -24.462 -8.55432 -76.2951
1530000 -86.8046 -12.9351 -72.8283 -45.8699 -9.09498 33.5928
1531000 -135.448 -150.185 -133.038 16.1531 -36.8031 -82.8137
1532000 -34.1715 3.17881 4.35648 -43.9926 -2.54059 -19.9634
1533000 -183.661 -146.469 -103.518 -103.906 83.1993 -40.187
1534000 -206.557 -32.415 -127.328 -9.62313 -44.2666 -33.5769
